barcode,consensus,nReads
B7,Fungi%Chytridiomycota%Chytridiomycetes%Rhizophydiales%Rhizophydiaceae%Rhizophydium%Rhizophydium planktonicum,6
B7,Fungi%Mucoromycota%Umbelopsidomycetes%Umbelopsidales%Umbelopsidaceae%Umbelopsis%Umbelopsis isabellina,1
B7,Fungi%NA%NA%NA%NA%NA%NA,5
B7,Metazoa%Annelida%Clitellata%NA%NA%NA%NA,1
B7,Metazoa%Annelida%Clitellata%Tubificida%Naididae%NA%NA,1
B7,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Chydoridae%Anchistropus%Anchistropus emarginatus,22
B7,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Chydoridae%Chydorus%Chydorus sphaericus,57
B7,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Chydoridae%NA%NA,8
B7,Metazoa%Arthropoda%Branchiopoda%Diplostraca%Macrotrichidae%Acantholeberis%Acantholeberis curvirostris,1
B7,Metazoa%Arthropoda%Branchiopoda%NA%NA%NA%NA,1
B7,Metazoa%Arthropoda%NA%NA%NA%NA%NA,35
B7,Metazoa%Cnidaria%Anthozoa%Scleractinia%Mussidae%Mycetophyllia%Mycetophyllia danaana,8
B7,Metazoa%NA%NA%NA%NA%NA%NA,25
B7,Metazoa%Platyhelminthes%Catenulida%NA%Stenostomidae%Stenostomum%NA,1
